"source_serial","registration_number","brand_name","generic_name","strength","dosage_form","pack_size","shelf_life","manufacturer","manufacturer_country","marketing_authorization_holder","local_technical_representative","registration_date","expiry_date","regulatory_status","source_name","source_url"
"778","Rwanda FDA-HMP-MA-1976","LOFNAC GEL","Diclofenac Sodium 1-3.00 % w/w of Linseed oil BP, -10.00 % w/w of Methyl salicylatEe BP, -5.00 % w/w of Menthol BP.","1%, 3%, 10%, 5%,","GEL","30g Tubes","36 Months","Gopaldas Visram & Co. Ltd","India","BLISS GVS PHARMA LTD","SURYA DEPOT PHARMACY LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"779","Rwanda FDA-HMP-MA-1564","LOSATRUST H TABLETS","Losartan Potassium USP and Hydrochlorthiazide BP","50mg/12.5 mg","Film coated Tablets","3x10 Tablets","36 Months","CENTAUR PHARMACEUTICALS PVT LTD","INDIA","CENTAUR PHARMACEUTICALS PVT, LTD","WESSEX PHARMACEUTICAL (RWANDA)LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"780","Rwanda FDA-HMP-MA-1992","LUMECOAT","Sucralfate Oral Suspension","1g/10mL","SUSPENSION","1","24 months","M/s Annora Pharma Private Limited","INDIA","Hetero Labs Limited","Bion Pharma Group (BPG) Limited","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"781","Rwanda FDA-HMP-MA-1678","LUMERAX DT 20/120","ARTEMETHER & LUMEFANTRINE","20/120MG","TABLETS","6 Tablets or 12 Tablets","24 Months","IPCA LABORATORIES LTD","India","IPCA LABORATORIES LTD","SUN ENTREPRISE LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"782","Rwanda FDA-HMP-MA-1580","LUMITER 80/840 MG","Artemeter and Lumefantrine","80mg/480mg","Tablets","15 Tablets","24 Months","MACLEODS PHARMACEUTICALS LIMITED","INDIA","MACLEODS PHARMACEUTICALS LTD","AIVEEN RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"783","Rwanda FDA-HMP-MA-1876","LYSODOL 100","ACECLOFENAC","100MG","TABLETS","1x30 Tablets","36 Months","Tirupati Medicare Ltd","INDIA","MEYER ORGANICS PVT.LTD","SUN ENTEPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"784","Rwanda FDA-HMP-MA-1872","LYSODOL 200SR","ACECLOFENAC","200MG","TABLETS","30 Tablets","36 Months","Tirupati Medicare Ltd","INDIA","MEYER ORGANICS PVT.LTD","SUN ENTEPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"785","Rwanda FDA-HMP-MA-1873","LYSODOL MR","ACECLOFENAC & PARACETAMOL & CHLORZOXAZONE","100/500/250 MG","TABLETS","3x10 Tablets","36 Months","Tirupati Medicare Ltd","INDIA","MEYER ORGANICS PVT.LTD","SUN ENTEPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"786","Rwanda FDA-HMP-MA-1874","LYSODOL P","ACECLOFENAC & PARACETAMOL","100/50 MG","TABLETS","1x30 Tablets","36 Months","Tirupati Medicare Ltd","INDIA","MEYER ORGANICS PVT.LTD","SUN ENTEPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"787","Rwanda FDA-HMP-MA-2024","MALAVAN 60","ARTESUNATE","60MG","Powder for Injection","1 x 3 AMPOULES","24 Months","Bliss GVS Pharma Limited","INDIA","IMEX PHARMA, Maurice","Mediasol Pharmaceutical Depot Ltd","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"788","Rwanda FDA-HMP-MA-2078","MALAVAN 60","Combipack of Artesunate injection, Sodium Chloride injection BP and Sodium Bicarbonate injection BP","60MG","POWDER FOR INJECTION","1 kit","24 Months","Bliss GVS Pharma Limited","INDIA","IMEX PHARMA, Maurice","Mediasol Pharmaceutical Depot Ltd","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"789","Rwanda FDA-HMP-MA-1805","MEDICAINE 2%","Mepivacaine hydrochloride Adrenaline bitartrate, adrenalinated","36 mg/ml, 0.032 (0.01819)","Solution for injection","1.8ml container","24 Months","Les laboratoire Medis","TUNISIA","","KIPHARMA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"790","Rwanda FDA-HMP-MA-1942","MELANEZ","MESALAZINE Ph.Eur.","1G","SUPPOSITORIES","2x5 Suppositories","24 Months","BLISS GVS PHARMA LTD","India","BLISS GVS PHARMA LTD","SURYA DEPOT PHARMACY LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"791","Rwanda FDA-HMP-MA-1718","MELASIL TABLETS","Metaclopramide HCL","10mg","Tablets","10x10 Tablets, 100 x10 Tablets and in 1000 Tablets","36 Months","LABORATORY & ALLIED LTD","KENYA","LABORATORY & ALLIED LTD","DEPOT PHARMACEUTIQUE LE MEDICAL","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"792","Rwanda FDA-HBP-MA-0137","MENACWY VACCINE PFIZER","Meningococcal group A, C, W-135 and Y conjugate vaccine","1.Neisseria meningitides group A polysaccharide 1 5 micrograms 2.Neisseria meningitides group C polysaccharide 1 5 micrograms 3.Neisseria meningitides group W-135 polysaccharide 1 5 micrograms 4.Neisseria meningitides group Y polysaccharide 1 5 micrograms 1Conjugated to tetanus toxoid carrier protein 44 micrograms","Powder and solvent for solution for injection in pre-filled syringe","50 Vials","48 Months","Pfizer Manufacturing Belgium NV","Belgium","PFIZER LABORATORIES LIMITED","WESSEX PHARMACEUTICALS (RWANDA) LIMITED","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"793","Rwanda FDA-HBP-MA-0135","MENOTAS HP 150","Menotrophin BP","150 IU/vial","Powder for injection","1 VIAL","24 Months","INTAS PHARMACEUTICALS LIMITED","INDIA","INTAS PHARMACEUTICALS LIMITED","VINE PHARMA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"794","Rwanda FDA-HMP-MA-1924","","Meropenem USP","1GR","Powder for Injection","1 VIAL","24 Months","PT. SANBE FARMA","INDONESIA","PT SANBE FARMA","AFRIHEALTH CARE LIMITED","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"795","Rwanda FDA-HMP-MA-2101","METAPIR-50","TOPIRAMATE USP","50MG","TABLETS","10 tablets","36 Months","MICRO LABS LIMITED","India","MICRO LABS LIMITED","WESSEX PHARMACEUTICALS (RWANDA) LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"796","Rwanda FDA-HMP-MA-1937","METOCLOPRAMIDE","METOCLOPRAMIDE HYDROCHLORIDE BP","5MG/ML","INJECTION","10 x 10 x 2 mL Ampoules","36 Months","CIRON DRUGS & PHARMACEUTICALS PVT.LTD","INDIA","CIRON DRUGS & PHARMACEUTICALS PVT.LTD","RENE PHARMACY (R) LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"797","Rwanda FDA-HMP-MA-1769","METRONIDAZOLE","Metronidazole BP","250 mg","Tablets","1000 Tablets","36 Months","AURA LIFECARE PVT. LTD.","INDIA","AURA LIFECARE PVT. LTD.","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"798","Rwanda FDA-HMP-MA-2025","METRONIDAZOLE ORAL SUSPENSION BP","METRONIDAZOLE BENZOATE BP","125MG/5ML","ORAL SUSPENSION","100ml Bottle","36 Months","Aura Life Care Pvt Ltd","INDIA","AURA LIFECARE PVT. LTD","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"799","Rwanda FDA-HMP-MA-1636","METROREN-250 TABLETS","Metronidazole","250mg","Tablets","10x10 tablets and 1000 tablets","24 Months","Rene Industries Ltd","Uganda","RENE INDUSTRIES LTD, UGANDA","RENE PHARMACY (R) LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"800","Rwanda FDA-HMP-MA-1541","MICARDIS","TERMISARTAN","40MG","TABLETS","28 Tablets","48 Months","Boehringer Ingelheim Ellas A.E","Greece","Boehringer Ingelheim Ellas A.E","SURGIPHARM RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"801","Rwanda FDA-HMP-MA-1560","MICARDIS","Telmisartan","80mg","Tablets","14, 28, 56, 84 or 98 tablets","48 Months","BOEHRINGER INGELHEIM ALLAS A.E,","GREECE","BOEHRINGER INGELHEIM INTERNATIONAL GMBH","SURGIPHARM RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"802","Rwanda FDA-HMP-MA-1596","MICLOCIN CREAM.","Miconazole nitrate BP, Clobetasol Propionate BP & Gentamicin (as Sulphate) BP","2% w/w, 0.05% w/w, 0.1% w/w","Cream","15 grams Tubes","36 Months","Dawa Limited","Kenya","Dawa Limited","Sun Enterprises Ltd","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"803","Rwanda FDA-HMP-MA-1676","MICROGYNON ED","LEVONORGESTREL/ETHINYLESTRADIOL","150 ?g and 30 ?g","TABLETS","28 tablets","36 Months","BAYER AG","Germany","Bayer East Africa Limited","SURGIPHARM RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"804","Rwanda FDA-HMP-MA-1585","MICROLUT","Levonorgestrel","0.03 mg","Tablets","35 Tablets","60 Months","BAYER AG","GERMANY","BAYER EAST AFRICA LIMITED","SURGIPHARM RWANDA LIMITED","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"805","Rwanda FDA-HMP-MA-1859","MICROMOX EYE DROP","MOXIFLOXACIN AS HYDROCHLORIDE","0.5%W/V","EYE DROPS","5 ml ophthalmic solution in 5 ml Sterile Translucent LDPE container","36 months.","MICRO LABS LIMITED","India","MICRO LABS LIMITEDNO 27, Race course Road,Bangalore-560 001IndiaTel: +91 8022370451-54Fax: +91 80 2237 0463Email: global@microlabs.in","WESSEX PHARMACEUTICALS RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"806","Rwanda FDA-HMP-MA-2162","MICROPRIDE-25","LEVOSULPIRIDE","25MG","TABLET","","24 months","Micro Labs Limited","India","Micro Labs Ltd.31, Race Course Road, Bangalore 560 001, Karnataka, India. E-mail;anuradhags@microlabs.in","WESSEX PHARMACEUTICALS RWANDA LTD","2024-08-17","2029-08-17","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"807","Rwanda FDA-HMP-MA-1712","MINOLINE-100 TABLETS","Aminophylline","100mg","Film Coated Tablets","10x10 Tablets","36 Months","LABORATORY & ALLIED LTD","KENYA","LABORATORY & ALLIED LTD","DEPOT PHARMACEUTIQUE LE MEDICAL","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"808","Rwanda FDA-HMP-MA-1598","MINT-O-COOL TABLETS","Magnesium Trisilicate and Dried Aluminium Hydroxide gel","250 mg/120 mg","Tablets","10x10 Tablets","24 Months","RENE INDUSTRIES LTD","Uganda","Rene Industries Ltd","Rene Pharmacy (R) Ltd","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"809","Rwanda FDA-HMP-MA-1728","MOMEX","Mometasone furoate monohydrate","","Nasal spray","1 bottle with 18 g of suspension","24 Months","DEVA HOLDING A.?.","TURKEY","DAFRA PHARMA","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"810","Rwanda FDA-HMP-MA-2002","MONAST 10","Montelukast Sodium","10 mg","Tablets","3x10 Tablets","36 months","M/s. Hetero Labs Limited","INDIA","Hetero Labs Limited","Bion Pharma Group (BPG) Limited","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"811","Rwanda FDA-HMP-MA-1853","MONTEMAC-5","MONTELUKAST","5MG","CHEWABLE TABLETS","10 Tablets","36 months.","MACLEODS PHARMACEUTICALS LIMITED","India","Macleods Pharmaceuticals Limited,Village-Theda, P.O. Lodhimajra, Tehsil Baddi, District Solan, Himachal Pradesh, India-174101","AIVEEN RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"812","Rwanda FDA-HMP-MA-1639","Morphine Medis","Morphine Hydrochloride","10mg/ml","Solution for injection","10 ampoules of 1ml","24 Months","","Tunisia","","KIPHARMA Ltd","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"813","Rwanda FDA-HMP-MA-1915","MOVFOR","MOLNUPIRAVIR","200MG","Capsules","4x10 \\\'s","24 months","Hetero Labs Limited (Unit -V)","India","Hetero Lab Limited","Bion Group Pharma Ltd","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"814","Rwanda FDA-HMP-MA-1565","MOXACIL POWDER FOR ORAL SUSPENSION","Amoxicillin Trihydrate","125mg/5ml","Powder for oral suspension","100ml and 60ml bottles","36 Months","DAWA LIMITED","KENYA","DAWA LIMITED","SUN ENTERPRISE LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"815","Rwanda FDA-HMP-MA-1957","MOXAFORTE 500","Amoxicillin Trihydrate and Flucloxacillin Sodium","250mg and 250mg","Capsules","2x10 Capsules","36 Months","DAWA LIMITED","KENYA","DAWA LIMITED","SUN ENTEPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"816","Rwanda FDA-HMP-MA-1661","MOXAFORTE SUSPENSION","Flucloxacillin (as Sodium) BP and Amoxicillin (as Trihydrate) BP","12mg+125mg/5ML","POWDER FOR SUSPENSION","100ml Bottle","36 Months","Dawa Limited","Kenya","DAWA LIMITED","SUN ENTEPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"817","Rwanda FDA-HMP-MA-1621","MUCOLYN SYRUP","Each 5ml contains Ammonium Chloride 50mg, Bromhexine Hydrochloride 4mg, Chlorpheniramine Maleate 2mg and Dextromethorphan Hydrobromide 5mg","50mg/4mg/2mg/5mg/5ml","Syrup","100ml Botlle","36 Months","Beta Healthcare International Limited,","KENYA","Shelys Pharmaceuticals Limited","SURGIPHARM RWANDA LIMITED","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"818","Rwanda FDA-HMP-MA-1930","MYCOMIN","Beclomethasone Dipropionate USP, Neomycin Sulfate BP & Miconazole Nitrate BP","0.025% w/w, 0.5% w/w & 2.0% w/w","CREAM","15G Tube","24 Months","CURETECH SKINCARE","INDIA","GALAXY PHARMACEUTICALS","STAR BIOTECH LIMITED","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"819","Rwanda FDA-HMP-MA-2092","MYCOREN-V PESSARIES","NYSTATIN","100000UI","PESSARIES","15 pessaries","24 Months","RENE INDUSTRIES LTD","Uganda","RENE INDUSTRIES LTD","RENE PHARMACY (R) LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"820","Rwanda FDA-HMP-MA-1934","MYOXERIL","CYCLOBENZAPRINE HYDROCHLORIDE","10MG","Film Coated Tablets","2x10 Tablets","36 Months","THE MADRAS PHARMACEUTICALS","INDIA","CROSS PHARM, S.A.","GOMHS LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"821","Rwanda FDA-HMP-MA-1886","NAC MR 10 TABS","DICLOFENAC POTASSIUM/PARACETAMOL/ CHLORZOXANE","50MG/325MG/250MG","TABLET","1x10.","36 months.","CORONA REMEDIES PVT LTD","India","CORONA REMEDIES PVT LTD","AIVEEN RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"822","Rwanda FDA-HMP-MA-1894","NEBTAS-H","NEBIVOLOL HYDROCHLORIDE+HYDROCHLORTHIAZIDE","5MG/12.5MG","TABLET","3x10 tablets","36 months.","INTAS PHARMACEUTICALS LTD","India","","ABACUS PHARMA (A) LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"823","Rwanda FDA-HMP-MA-1735","NEOPRED","Neomycin sulfate and Prednisolone sodium phosphate","Neomycin sulfate 0.35g +Prednisolone sodium phosphate 0.55g","Eye drops","1 vial of 5ml","24 Months","LES LABORATOIRES MEDIS","TUNISIA","LES LABORATOIRES MEDIS","KIPHARMA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"824","Rwanda FDA-HMP-MA-1892","NERVILIN 75MG CAPS","PREGABALIN","75MG","CAPSULES","3 packs X10 tablets","24 months.","DAWA LIMITED.","Kenya","DAWA LTD/KENYA, Plot No 7879/8, Baba Dogo Road -Ruaraka P.O Box 16633-00620, NAIROBI KENYA. Tel: 0724764747, 0735764747. Fax: +254-20-8561550. Emaiadmin@dawalimited.com","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"825","Rwanda FDA-HMP-MA-1885","NERVILIN NT","PREGABALIN","75MG","TABLET","3x10 capsules","36 months.","DAWA limited","Kenya","DAWA limited,plot no. 7879/8, baba dogo road, ruaraka.p.o. box 16633 - 00620,nairobi, kenya.email: admin@dawalimited.com","SUN ENTEPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"826","Rwanda FDA-HMP-MA-1683","NEWCOX - P","ETORIXOCIB&PARACETAMOL","60MG/325MG","TABLETS","3x10\\\'s","36 month","M/S Skybiotech Lifesciences Pvt. Ltd","India","Star Biotech LimitedAddress: 1st floor, Prestige House, Rwandex, Kigali-Rwanda","STAR BIOTECH RWANDA","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"827","Rwanda FDA-HMP-MA-1566","NEWCOX-TH","Etoricoxib & Thiocolchicoside","60mg/8mg","Film coated Tablets","3x10 Tablets","36 Months","SKYBIOTECH LIFESCIENCES PVT LTD","INDIA","PHARMA LIFE SCIENCE LTD","STAR BIOTECH LIMITED","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"828","Rwanda FDA-HMP-MA-1726","NIFURAN TABLETS","Nitrofurantoin BP","100mg","Tablets","10x10 Tablets","36 Months","LABORATORY & ALLIED LTD","KENYA","LABORATORY & ALLIED LTD","DEPOT PHARMACEUTIQUE LE MEDICAL","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"829","Rwanda FDA-HMP-MA-2166","NIRMET","METRONIDAZOLE","500MG/100ML","Intravenous Infusion","100ml","36 months","ACULIFE HEALTHCARE PVT. LTD","India","ACULIFE HEALTHCARE PVT. LTD","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"830","Rwanda FDA-HMP-MA-2007","NIZACARD 1000 mg","Ranolazine Extended-release","1000 mg","Tablets","3x10 Tablets","24 months","M/s Hetero Labs Limited","India","Hetero Labs Limited, Address: 7-2-A2, Hetero Corporate, Industrial Estate, Sanath Nagar, Hyderabad, Telangana, Pin Code - 500018 Country: INDIA Telephone : +91-40-23704923/24/25 Tele fax : +91-40-23704926/23714250","Bion Pharma Group (BPG) Limited","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"831","Rwanda FDA-HMP-MA-2003","NIZACARD 500","Ranolazine","500 mg","Extended-Release Tablets","3x10 Tablets","24 months","M/s Hetero Labs Limited","India","Hetero Labs Limited","Bion Pharma Group (BPG) Limited","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"832","Rwanda FDA-HMP-MA-1561","NORIGYNON","Estradiol valerate Norethisterone enantate","5mg/50mg","Solution for Injection","100 x1ml Ampoules","60 Months","BAYER DE MEXICO, S.A DE C.V","MEXICO","BAYER EAST AFRICA LIMITED","SURGIPHARM RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"833","Rwanda FDA-HMP-MA-1576","NOZINAN 25 MG","Levomepromazine maleate acid","25 mg","Tablets","20 Tablets","36 Months","SANOFI S.P.S","ITALY","SANOFI AVENTIS KENYA LIMITED","KIPHARMA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"834","Rwanda FDA-HMP-MA-1757","NYSKA-P","Nystatin BP","100,000 IU","Suspension","30 ml Bottles","36 Months","S KANT HEALTHCARE LTD","INDIA","S KANT HEALTHCARE LTD.","ABACUS PHARMA (A) LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"835","Rwanda FDA-HMP-MA-1821","NYSTATIN TABLETS","Nystatin BP","500000 IU","Tablets","10x10 Tablets","36 Months","MERIT ORGANICS LTD","INDIA","MERIT ORGANICS LTD","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"836","Rwanda FDA-HMP-MA-1809","OFLOX-OZ","Ofloxacin BP, Ornidazole","200 mg/ 500mg","Film Coated Tablets","3x10 Tablets","36 Months","Aurochem Pharmaceuticals (I) pvt. Ltd","INDIA","OCHOA LABORATORIES","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"837","RwandaFDA-HMP-MA-1871","OFZOLE 30 TABS","OFLOXACIN + ORNIDAZOLE","200MG/500MG","TABLET","","24 Months","CORONA REMEDIES PVT LTD","INDIA","CORONA REMEDIES PVT LTD","AIVEEN RWANDA LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"838","Rwanda FDA-HMP-MA-1703","Olopat OD","Olopatadine Hydrochloride USP","Olopatadine Hydrochloride Ophthalmic Solution USP 0.2% w/v","Ophthalmic","5 ml","36 month","Ajanta Pharma Limited","India","Ajanta Pharma Limited","Abacus Pharma (A) Ltd","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"839","Rwanda FDA-HMP-MA-1977","OMEPRAGLOBE","OMEPRAZOLE","20MG","CAPSULES","1x10 Capsules","36 Months","GLOBELA PHARMA PVT. LIMITED","INDIA","GLOBELA PHARMA PVT.LTD","AFRIPHARM LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"840","Rwanda FDA-HMP-MA-1583","OPELAN ODT-10","Olanzapine oral dispersible","10 mg","Tablets","10 Tablets","36 Months","MICRO LABS LIMITED","INDIA","MICRO LABS LIMITED","PHILLIPS PHARMACEUTICALS (RWANDA) LIMITED","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
"841","Rwanda FDA-HMP-MA-1900","OXYNIR INJ","OXYTOCIN","10IU/ML","Intravenous injection","5x10x1ml","24 months","Aculife Healthcare Pvt. Ltd","INDIA","Aculife Healthcare Pvt. Ltd.Address: Village: Sachana, Tal: Viramgam, Dist: AhmedabadCountry: India","SUN ENTERPRISES LTD","2024-08-17","2029-08-16","valid","Rwanda FDA - Registered Pharmaceutical Products July 2026","https://rwandafda.gov.rw/register/monitoring_preview_register"
