"registry_entry_key","registry_pharmacy_name","registry_district","registry_area","gis_object_id","gis_global_id","gis_shop_name","gis_district","gis_sector","gis_cell","gis_village","gis_street_number","longitude","latitude","accuracy_m","collected_at","edited_at","source_url","review_reason"
"retail-2026-05-230","ALBOPHAR PHARMACY Ltd","NYARUGENGE","MUHIMA AMAHORO","68","{E263021E-D30D-47D1-BD31-E30792D86339}","Albophar Pharmacy Ltd ","Nyarugenge","Muhima","Amahoro","Ubuzima","KN 8 Ave","30.0591609","-1.9375082","3.900","2021-10-11T10:00:00.000Z","2023-11-01T10:38:23.959Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-531","PHARMACIE BORA Ltd","GASABO","GATSATA NYAMUGARI","69","{64631080-5469-49FB-8B25-5017CFB6E4A1}","Pharmacy Bora LTD","Gasabo","Gatsata","Nyamugari","Akamwunguzi","NR 3","30.0462534","-1.9280117","3.900","2021-10-11T10:00:00.000Z","2023-11-01T08:33:21.814Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-100","ELLIS PHARMACY LTD","GASABO","GISOZI MUSEZERO","73","{B1B57EC0-EB5E-465C-83FA-93F7961D59FB}","Ellis Pharmacy","Gasabo","Gisozi","Musezero","Nyakariba","KG 447 St","30.0642893","-1.9085198","3.000","2021-10-11T10:00:00.000Z","2023-11-01T09:25:02.989Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-578","PHARMACIE LA SANTE Ltd","KICUKIRO","GATENGA NYANZA","74","{5BE08746-AEF7-4947-88F0-B6B07B7870D2}","Pharmacy La Sante","Kicukiro","Gatenga","Nyanza","Bwiza","KK 588 St","30.1037160","-1.9815209","2.000","2021-10-11T10:00:00.000Z","2023-11-01T10:14:51.823Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-373","BENINA PHARMACY Ltd","KICUKIRO","GATENGA NYANZA","75","{2BFE2B9A-5955-4EF1-A8D3-273EE6EB8006}","Benina Pharmacy","Kicukiro","Gatenga","Nyanza","Bwiza","KK 540 St","30.1034710","-1.9824090","2.000","2021-10-11T10:00:00.000Z","2023-11-01T10:14:52.774Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-257","NATHANYA PHARMACY Ltd","NYARUGENGE","NYARUGENGE BIRYOGO","77","{B4A38CC1-3FB7-4039-9F3C-137D7A309D83}","Nathanya Pharmacy Ltd","Nyarugenge","Nyarugenge","Biryogo","Gabiro","KN 7 Ave","30.0601981","-1.9639724","1.500","2021-10-12T10:00:00.000Z","2023-11-01T10:39:22.555Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-241","PHARMACIE REMED Ltd","NYARUGENGE","NYARUGENGE BIRYOGO","79","{33B30C54-CD9F-4113-868F-554ED022ED43}","Remed Pharmacy","Nyarugenge","Nyarugenge","Biryogo","Gabiro","KN 115 St","30.0594919","-1.9654707","2.000","2021-10-12T10:00:00.000Z","2023-11-01T10:39:25.123Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-635","PHARMACIE IRAMIRO Ltd","NYARUGENGE","NYARUGENGE RWAMPARA","81","{4E6877BB-C59C-4098-8A18-5D35BB997E0F}","Pharmacy Iramiro","Nyarugenge","Nyarugenge","Rwampara","Intwari","DR 51","30.0579310","-1.9684316","3.900","2021-10-12T10:00:00.000Z","2023-11-01T10:39:31.583Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-738","PHARMACIE SANGWA LTD","NYARUGENGE","MUHIMA UBUMWE","83","{644B31B6-3B37-42FE-B65C-D8B71DA4E91F}","Pharmacy Sangwa  Ltd ","Nyarugenge","Muhima","Ubumwe","Isangano","","30.0645131","-1.9445313","2.000","2021-10-12T10:00:00.000Z","2023-11-01T10:40:05.886Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-548","BELLE VIE PHARMACY","NYARUGENGE","MUHIMA UBUMWE","84","{D68B0B95-CC50-4DE1-B2D8-7BCA5EE3E1FC}","Pharmacy Belle Vie ","Nyarugenge","Muhima","Ubumwe","Isangano","","30.0644608","-1.9445389","2.000","2021-10-12T10:00:00.000Z","2023-11-01T10:40:06.174Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-112","SCORE PHARMACY LTD","NYARUGENGE","MUHIMA UBUMWE","85","{068852F3-2940-4644-B5DC-A077765F3866}","Score Pharmacy","Nyarugenge","Muhima","Ubumwe","Isangano","KN 5 St","30.0680230","-1.9458293","2.000","2021-10-12T10:00:00.000Z","2023-11-01T10:40:09.141Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-345","AUBENE PHARMACY Ltd","GASABO","KACYIRU KIBAZA","87","{0C01EE82-54C8-417A-B560-28EAE6D81C1E}","Aubene Pharmacy","Gasabo","Kacyiru","Kibaza","Ihuriro","KG 574 St","30.0807153","-1.9361154","2.000","2021-10-13T10:00:00.000Z","2023-11-01T09:29:37.787Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-429","MAXPHAR PHARMACY Ltd","NYARUGENGE","MUHIMA AMAHORO","88","{BFFB764E-95FB-481B-B0FD-DDD8A6DE5563}","Maxphar Pharmacy ","Nyarugenge","Muhima","Amahoro","Ubuzima","KN 13 St","30.0590207","-1.9371694","9.648","2021-10-13T10:00:00.000Z","2023-11-01T10:40:25.968Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-405","ATLAS PHARMACY Ltd","NYARUGENGE","MUHIMA NYABUGOGO","91","{532AD507-1DC6-4676-A011-BC062487FAE8}","Atlas Pharmacy","Nyarugenge","Muhima","Nyabugogo","Ubucuruzi","KG 8 St","30.0474340","-1.9398386","8.000","2021-10-13T10:00:00.000Z","2023-11-01T10:40:51.112Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-84","OMEGA PHARMACY LTD","NYARUGENGE","MUHIMA NYABUGOGO","92","{1606663E-33EB-422C-98ED-CA2C738260FF}","Omega Pharmacy","Nyarugenge","Muhima","Nyabugogo","Ubucuruzi","NR 1","30.0468324","-1.9403807","6.500","2021-10-13T10:00:00.000Z","2023-11-01T10:40:55.324Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-698","INEPHAR PHARMACY Ltd","GASABO","KACYIRU KAMUTWA","98","{9A87D3A8-7E80-48B5-AD97-6C4FEF4CD599}","Inephar pharmacy","Gasabo","Kacyiru","Kamutwa","Inkingi","KN 8 Ave","30.0618962","-1.9337509","2.000","2021-10-13T10:00:00.000Z","2023-11-01T09:30:31.407Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-764","PHARMACIE MARANATHA Ltd","GASABO","KACYIRU KAMUTWA","99","{1033B611-C2E9-4CF5-89CC-2DB8D116C0AA}","Pharmacy Maranatha","Gasabo","Kacyiru","Kamutwa","Inkingi","KN 8 Ave","30.0619601","-1.9340921","2.000","2021-10-13T10:00:00.000Z","2023-11-01T09:30:31.735Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-601","PHARMACIE DORRIE LTD","NYARUGENGE","NYAKABANDA MUNANIRA II","103","{F762DAB9-33E5-4236-81F1-5BE9AEB76DDF}","Dorrie Pharmacy","Nyarugenge","Nyakabanda","Munanira II","Nkundumurimbo","","30.0491779","-1.9701382","4.500","2021-10-13T10:00:00.000Z","2023-11-01T10:43:24.612Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-200","ALVIN PHARMACY Ltd","NYARUGENGE","NYAMIRAMBO CYIVUGIZA","109","{5869D77F-61F5-4B10-9C34-CF75431DBDBE}","Alvin Pharmacy","Nyarugenge","Nyamirambo","Cyivugiza","Mpano","KN 2 Ave","30.0411542","-1.9805103","2.500","2021-10-14T10:00:00.000Z","2023-11-01T10:46:04.686Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-604","PRO VITA PHARMACY Ltd","NYARUGENGE","NYAMIRAMBO CYIVUGIZA","110","{8A3B29D9-8211-4A52-A26A-C5AA447B13CC}","Pro Vita Pharmacy","Nyarugenge","Nyamirambo","Cyivugiza","Mpano","KN 2 Ave","30.0417597","-1.9802281","2.000","2021-10-14T10:00:00.000Z","2023-11-01T10:46:06.879Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-484","PLIVA PHARMACY Ltd","NYARUGENGE","GITEGA GACYAMO","113","{57B4BA4D-C925-41F1-B6BC-D5585CEE384B}","Pliva Pharmacy","Nyarugenge","Gitega","Gacyamo","Kivumu","DR 51","30.0592824","-1.9646022","1.500","2021-10-14T10:00:00.000Z","2023-11-01T10:46:49.977Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-762","DORAH PHARMACY LTD","GASABO","KINYINYA KAGUGU","116","{538858D5-2184-408C-9870-542DF1040D61}","Dorah Pharmacy","Gasabo","Kinyinya","Kagugu","Rukingu","KG 14 Av","30.0859437","-1.9125643","2.000","2021-10-14T10:00:00.000Z","2023-11-01T09:31:17.658Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-498","DELIZA PHARMACY Ltd","NYARUGENGE","NYAKABANDA MUNANIRA I","117","{806BF702-1FAF-46B0-AB94-39B646BF7559}","Deliza Pharmacy","Nyarugenge","Nyakabanda","Munanira I","Ntaraga","","30.0547297","-1.9608360","2.500","2021-10-14T10:00:00.000Z","2023-11-01T10:47:05.653Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-170","NKERA PHARMACY Ltd","NYARUGENGE","NYAKABANDA MUNANIRA I","118","{B71AD01C-53AB-4191-B338-FEFF0A6A0A14}","Nkera Pharmacy","Nyarugenge","Nyakabanda","Munanira I","Ntaraga","","30.0548405","-1.9607429","2.500","2021-10-14T10:00:00.000Z","2023-11-01T10:47:05.986Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-643","XAVINA PHARMACY Ltd","NYARUGENGE","RWEZAMENYO RWEZAMENYO II","128","{E1D0B3D2-0DA4-4327-83D3-C40FF87701C9}","XAVINA PHARMACY","Nyarugenge","Rwezamenyo","Rwezamenyo II","Urumuri","KN 188 St","30.0473906","-1.9779772","8.500","2021-10-15T10:00:00.000Z","2023-11-01T10:50:23.619Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-61","KABARE PHARMACY LTD","GASABO","RUSORORO KABUGA I","131","{7C5825CC-95A9-4525-9108-9E90EF7C9AC4}","Kabare Pharmacy","Gasabo","Rusororo","Kabuga I","Kabeza","NR 4","30.2259212","-1.9797613","3.216","2021-10-15T10:00:00.000Z","2023-11-01T09:32:37.133Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-28","PHARMACURE Ltd","NYARUGENGE","NYAMIRAMBO MUMENA","133","{F4710C1F-146A-4832-A599-58B9B9BFF20B}","Pharmacure Pharmacy","Nyarugenge","Nyamirambo","Mumena","Irembo","KN 2 Ave","30.0536819","-1.9751386","2.000","2021-10-15T10:00:00.000Z","2023-11-01T10:52:35.606Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-413","GALEAD PHARMACY LTD","KICUKIRO","MASAKA CYIMO","134","{722F8172-ADCE-4F51-913B-E7BD9ECA4477}","Galead Pharmacy","Kicukiro","Masaka","Cyimo","Masaka","","30.1920463","-1.9968629","3.900","2021-10-15T10:00:00.000Z","2023-11-01T10:19:24.534Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-388","BENADY PHARMACY LTD","NYARUGENGE","NYAMIRAMBO RUGARAMA","142","{E6D7EB3E-E966-498C-9614-BB4C0416C73A}","Benady Pharmacy","Nyarugenge","Nyamirambo","Rugarama","Tetero","KN 309 St","30.0489911","-1.9872437","3.900","2021-10-16T10:00:00.000Z","2023-11-01T10:53:47.894Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-108","NISHIMWE PHARMACY LTD","KICUKIRO","MASAKA GAKO","145","{D707C6F5-4B4F-4128-B936-C8C62EDCC6B6}","Nishimwe Pharmacy","Kicukiro","Masaka","Gako","Cyugamo","","30.2247157","-1.9851174","1.500","2021-10-16T10:00:00.000Z","2023-11-01T10:20:58.564Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-640","MEMIA’S PHARMACY Ltd","KICUKIRO","NIBOYE GATARE","146","{0654A013-1E3E-4E35-81E4-51224FA1F1FA}","Memia's Pharmacy","Kicukiro","Niboye","Gatare","Taba","NR 5","30.1045328","-1.9752063","3.900","2021-10-17T10:00:00.000Z","2023-11-01T10:21:01.730Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-423","JOSH PHARMACY Ltd","NYARUGENGE","NYARUGENGE KIYOVU","148","{185F2D8A-FBA6-4FB5-B335-72C908A015B7}","Josh Pharmacy","Nyarugenge","Nyarugenge","Kiyovu","Inyarurembo","","30.0568753","-1.9436890","2.500","2021-10-16T10:00:00.000Z","2023-11-01T10:54:22.602Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-402","ZIP PHARMACY Ltd","KICUKIRO","GAHANGA KAREMBURE","157","{49C35A18-0210-475D-ADEC-2FB5A9A8F79E}","Zip Pharmacy","Kicukiro","Gahanga","Karembure","Karembure","KK 32 Av","30.0900618","-2.0118739","2.500","2021-10-17T10:00:00.000Z","2023-11-01T08:33:21.814Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-231","PHARMACIE NEZA Ltd","NYARUGENGE","NYARUGENGE KIYOVU","160","{3C25D931-8EC2-4FB9-B350-95A1B4504A96}","Neza Pharmacy","Nyarugenge","Nyarugenge","Kiyovu","Inyarurembo","KN 82 St","30.0588985","-1.9430032","2.500","2021-10-17T10:00:00.000Z","2023-11-01T10:54:56.388Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-577","PHARMACIE IRIS LTD","NYARUGENGE","NYARUGENGE KIYOVU","161","{2902E6E9-9E29-4503-BF34-2A46F22F241F}","Iris Pharmacy","Nyarugenge","Nyarugenge","Kiyovu","Inyarurembo","KN 2 Ave","30.0595810","-1.9433996","2.500","2021-10-17T10:00:00.000Z","2023-11-01T10:54:57.482Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-355","SUNBEAM PHARMACY LTD","NYARUGENGE","NYARUGENGE KIYOVU","162","{40BCA418-3270-43DE-B3EE-EB4F8267E4AD}","Sunbeam Pharmacy","Nyarugenge","Nyarugenge","Kiyovu","Inyarurembo","KN 2 Ave","30.0597123","-1.9431341","2.500","2021-10-17T10:00:00.000Z","2023-11-01T10:54:57.758Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-514","KEYSTONE PHARMACY Ltd","NYARUGENGE","NYAMIRAMBO CYIVUGIZA","165","{8E536B68-F60E-44C0-8306-1B9BC828A6F4}","Keystone Pharmacy","Nyarugenge","Nyamirambo","Cyivugiza","Karisimbi","KN 2 Ave","30.0492815","-1.9780703","2.500","2021-10-18T10:00:00.000Z","2023-11-01T10:55:41.890Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-507","CAREPLUS PHARMACY Ltd","GASABO","BUMBOGO KINYAGA","166","{2E42552D-BD17-4535-8BBE-C0D71CB7411E}","Careplus Pharmacy ","Gasabo","Bumbogo","Kinyaga","Zindiro","DR 71","30.1426450","-1.9320895","3.900","2021-10-18T10:00:00.000Z","2023-11-01T09:36:46.637Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-46","SHEKINA PHARMACY LTD","NYARUGENGE","NYAMIRAMBO RUGARAMA","170","{A7E19A48-2A46-4DF8-8CB3-9F9A6AE0CD14}","Shekina Pharmacy","Nyarugenge","Nyamirambo","Rugarama","Rugarama","","30.0501329","-1.9947166","3.900","2021-10-18T10:00:00.000Z","2023-11-01T10:56:36.924Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-408","AYIBAMBE PHARMACY Ltd","GASABO","RUSORORO KABUGA I","172","{C123ECBA-B8E3-46D6-AD95-5BAF97E28FF6}","Ayibambe Pharmacy","Gasabo","Rusororo","Kabuga I","Masango","","30.2253830","-1.9785118","3.216","2021-10-18T10:00:00.000Z","2023-11-01T09:37:21.315Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-242","VIDA PHARMACY Ltd","GASABO","RUSORORO KABUGA I","173","{1C4C9509-8D68-4540-B993-E8C105AA1D73}","Vida Pharmacy Ltd","Gasabo","Rusororo","Kabuga I","Isangano","","30.2250467","-1.9776937","3.216","2021-10-18T10:00:00.000Z","2023-11-01T09:37:27.026Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-104","IGIHOZO PHARMACY LTD","GASABO","RUSORORO KABUGA I","174","{905BC6AA-308C-4DF5-9849-80CEA163017B}","Pharmacy Igihozo","Gasabo","Rusororo","Kabuga I","Isangano","","30.2251534","-1.9777410","3.216","2021-10-18T10:00:00.000Z","2023-11-01T09:37:28.122Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-263","BONNE VIE LTD","KICUKIRO","GAHANGA GAHANGA","175","{2D1D0D74-1BC9-46B4-85DE-927211663C82}","Pharmacy Bonne Vie","Kicukiro","Gahanga","Gahanga","Ubumwe","","30.1039138","-2.0263014","2.500","2021-10-18T10:00:00.000Z","2023-11-01T08:33:21.814Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-82","BARAKA PHARMACY LTD","GASABO","NDUBA GASANZE","177","{B40DA7B8-41E4-41EE-B83C-0F1E8E5913A9}","Baraka Pharmacy Ltd ","Gasabo","Nduba","Gasanze","Nyakabungo","","30.0909219","-1.8860626","2.000","2021-10-19T10:00:00.000Z","2023-11-01T09:38:32.467Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-575","PALOMA PHARMACY Ltd","GASABO","NDUBA GASANZE","178","{8739521A-EA2D-4645-9F02-D4C57D25DC4D}","Paloma Pharmacy","Gasabo","Nduba","Gasanze","Nyakabungo","","30.0907047","-1.8859656","1.500","2021-10-19T10:00:00.000Z","2023-11-01T09:38:32.732Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-305","SANGWA PHARMACY Ltd","GASABO","RUSORORO KABUGA I","180","{0DE6B60A-C2D0-4E80-83BE-53573AF05209}","Sangwa Pharmacy","Gasabo","Rusororo","Kabuga I","Kabeza","","30.2258901","-1.9807892","3.216","2021-10-19T10:00:00.000Z","2023-11-01T09:40:11.596Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-642","BELLE VIE PHARMACY Ltd","NYARUGENGE","NYARUGENGE KIYOVU","183","{CE3C35A0-8A6B-4E85-90B1-3F3A006FA77D}","Belle vie Pharmacy","Nyarugenge","Nyarugenge","Kiyovu","Ingenzi","KN 4 Ave","30.0606913","-1.9536921","1.500","2021-10-19T10:00:00.000Z","2023-11-01T10:57:29.993Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
"retail-2026-05-382","PHARMACIE FIDELE Ltd","NYARUGENGE","NYARUGENGE KIYOVU","188","{B0595120-A51D-4C5E-94AD-6FC3000BBAB4}","Fidele Pharmacy","Nyarugenge","Nyarugenge","Kiyovu","Inyarurembo","KN 70 St","30.0601177","-1.9455612","4.500","2021-10-20T10:00:00.000Z","2023-11-01T11:47:57.393Z","https://gh.space.gov.rw/server/rest/services/Health_Facilities/FeatureServer/3","exact_name_district_sector_cell_and_accuracy"
