"issue","best_registry_name","roster_pharmacy_name","roster_district","location","e164","source_url","source_reference","match_score","runner_up_score"
"ambiguous_or_unmatched","","UMUBILIZI PHARMACY","HUYE","SOUTHERN, HUYE,MU CYARABU","250788816498","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf","huye July-September 2026 duty roster","0.219","0.087"
"ambiguous_or_unmatched","","BONACURATIO FARMACIA COMPANY LTD","KAMONYI","SOUTH,KAMONYI,RUNDA,RUYENZI","250788891651","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf","kamonyi July-September 2026 duty roster","0.709","0.117"
"ambiguous_or_unmatched","","BONACURATIO FARMACIA COMPANY LTD","KAMONYI","SOUTH,KAMONYI,RUNDA,RUYENZI","250791692290","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf","kamonyi July-September 2026 duty roster","0.709","0.117"
"ambiguous_or_unmatched","","LIFE PLUS PHARMACY Ltd","KAYONZA","EASTERN,KAYONZA, MUKARANGE, BWIZA","250782235650","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kayonza_District_JULY-AUGUST-SEPTEMBER_2026.pdf","kayonza July-September 2026 duty roster","0.490","0.329"
"ambiguous_or_unmatched","","ABIRWA PHARMACY","GASABO","Kigali City, GASABO, REMERA, RUKIRI YA II UGANA KURI CENTRE CHRISTUS","250782553288","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.654","0.215"
"ambiguous_or_unmatched","","ALLIMED PHARMACY LTD","KICUKIRO","Kigali City, KICUKIRO, NIBOYE, UMUHANDA UGANA KICUKIRO CENTRE","250785590594","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.233","0.215"
"ambiguous_or_unmatched","","APOTHECARY PHARMACY","GASABO","Kigali City, GASABO, RUSORORO, CENTRE KA KABUGA","250783454761","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.683","0.206"
"ambiguous_or_unmatched","","APOTHECARY PHARMACY","GASABO","Kigali City, GASABO, RUSORORO, CENTRE KA KABUGA","250788630036","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.683","0.206"
"ambiguous_or_unmatched","","CUREMART PHARMACY LTD","KICUKIRO","Kigali City, KICUKIRO,NIBOYE,NIBOYE,GATARE","250788499138","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.187","0.162"
"ambiguous_or_unmatched","","DELIGHT PHARMACY REMERA BRANCH","GASABO","Kigali City, GASABO, REMERA, RUKIRI I, KISEMENT HARUGURU YA CLINIQUE POLYFAM","250788309743","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.694","0.694"
"ambiguous_or_unmatched","","EL DORADO PHARMACY LTD","KIGALI","Kigali City, KANOMBE, NYARUGUNGA,NKOKO,GITARA","250783615532","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","1.000","0.720"
"ambiguous_or_unmatched","","FELIPHARM","KICUKIRO","Kigali City, KICUKIRO,KANOMBE, KABEZA, AKAGERA","250785033013","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.247","0.233"
"ambiguous_or_unmatched","","GOODLIFE HEALTH AND BEAUTY BIRYOGO II BRANCH","NYARUGENGE","Kigali City, NYARUGENGE, BIRYOGO, BIRYOGO","250791232383","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.847","0.799"
"ambiguous_or_unmatched","","HERO PHARMACY LTD","GASABO","Kigali City, GASABO, KIMIRONKO,NYAGATOVU","250788796975","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.175","0.175"
"ambiguous_or_unmatched","","ISANO PHARMACY LTD","NYARUGENGE","Kigali City, NYARUGENGE, GITEGA, KORA, IMBERE YA FEU ROUGE","250788303180","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.210","0.191"
"ambiguous_or_unmatched","","ISANO PHARMACY LTD","NYARUGENGE","Kigali City, NYARUGENGE, GITEGA, KORA, IMBERE YA FEU ROUGE","250788625212","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.210","0.191"
"ambiguous_or_unmatched","","JM PHARMACY","GASABO","Kigali City, GASABO, KACYIRU IMBERE YA KING FAISAL HOSPITAL","250787264328","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.561","0.117"
"ambiguous_or_unmatched","","KARO ENTREPRISES LTD","NYARUGENGE","Kigali City, NYARUGENGE,NYARUGENGE, KIYOVU","250785790295","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.653","0.127"
"ambiguous_or_unmatched","","KERIDO PHARMACY","NYARUGENGE","Kigali City, NYARUGENGE, NYAMIRAMBO KURI COSMOS","250788863920","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.191","0.191"
"ambiguous_or_unmatched","","MEDCONNEKT PHARMACY LTD","NYARUGENGE","Kigali City, NYARUGENGE, GITEGA, KORA, CYIVUMU","250782300872","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.206","0.175"
"ambiguous_or_unmatched","","MEDIASOL PHARMACY, KICUKIRO BRANCH","KICUKIRO","Kigali City, KICUKIRO, NYARUGUNGA, HAFI YA RMH","250788307358","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.470","0.440"
"ambiguous_or_unmatched","","MEDIASOL PHARMACY, MAIN BRANCH","NYARUGENGE","Kigali City, NYARUGENGE, NYARUGENGE, MURI NEW T2000 Building","250788307358","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.525","0.411"
"ambiguous_or_unmatched","","MEDIASOLPHARMACY, REMERA BRANCH","GASABO","Kigali City, GASABO, REMERA, RUKIRI I","250788307358","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.729","0.729"
"ambiguous_or_unmatched","","MEMIAS PHARMACY","KICUKIRO","Kigali City, KICUKIRO, NIBOYE, KU MUHANDA UGANA KICUKIRO CENTRE","250788434633","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.323","0.323"
"ambiguous_or_unmatched","","NOVACARE PHARMACY Ltd","KICUKIRO","Kigali City, KICUKIRO, MASAKA,CYIMO,KABEZA","250780561844","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.233","0.187"
"ambiguous_or_unmatched","","OLIS PHARMACY LTD","NYARUGENGE","Kigali City, NYARUGENGE, KIMISAGARA, KIMISAGARA","250737086318","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.175","0.175"
"ambiguous_or_unmatched","","PHARMACIE CONSEIL KAGUGU","GASABO","Kigali City, GASABO, KACYIRU,GACULIRO","250788305077","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.591","0.537"
"ambiguous_or_unmatched","","PHARMACIE CONSEIL, MAIN BRANCH","KIGALI","Kigali City, NYARUGENEGE, EN FACE DE L'ECOLE BELGE","250788305077","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.493","0.486"
"ambiguous_or_unmatched","","PHARMACIE CONTINENTALE","GASABO","Kigali City, GASABO, REMERA, RUKIRI I/KISIMENTI, UBUMWE","250788306878","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.558","0.223"
"ambiguous_or_unmatched","","PHARMACIE CONTINENTALE","GASABO","Kigali City, GASABO, REMERA, RUKIRI I/KISIMENTI, UBUMWE","250788566727","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.558","0.223"
"ambiguous_or_unmatched","","PHARMACIE DE LA MISERCORDE","NYARUGENGE","Kigali City, NYARUGENGE,Kigali City, NYABUGOGO,GAKONI","250788283954","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.773","0.475"
"ambiguous_or_unmatched","","PHARMACIE DU PROGRESS","KICUKIRO","Kigali City, KICUKIRO, KIGARAMA,KARUGIRA,UBUTARE","250788463839","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.728","0.728"
"ambiguous_or_unmatched","","PHARMACIE IDEAL","GASABO","Kigali City, GASABO, KIMIRONKO, UGANA Kigali CityPARENTS SCHOOL","250788590217","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.318","0.233"
"ambiguous_or_unmatched","","PHARMACIE IRIS Ltd-JABANA BRANCH","GASABO","Kigali City, GASABO,JABANA,KABUYE","250788484003","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.463","0.463"
"ambiguous_or_unmatched","","PHARMACIE L'AN 2000 PLUS","KICUKIRO","Kigali City, KICUKIRO, KANOMBE,KABEZA,GIPOROSO I","250788565654","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.399","0.297"
"ambiguous_or_unmatched","","PHARMACIE MUHIRE, KICUKIRO BRANCH","KICUKIRO","Kigali City, KICUKIRO, KANOMBE, IMBERE YA RMH","250788452718","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.451","0.422"
"ambiguous_or_unmatched","","PHARMACIE MUHIRE, MAIN BRANCH","NYARUGENGE","Kigali City, NYAARUGENGE, NYARUGENGE, KIYOVU MU NYUBAKO YO KWA RUBANGURA","250788452718","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.500","0.464"
"ambiguous_or_unmatched","","PHARMACIE SABANS","GASABO","Kigali City, GASABO, REMERA-GIPOROSO","250788394007","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.191","0.187"
"ambiguous_or_unmatched","","PHARMACIE TETA, KISIMENTI BRANCH","GASABO","Kigali City, GASABO, KISEMENTI, IMBERE YO KWA CHEZ LANDO HOTEL","250788460549","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.517","0.486"
"ambiguous_or_unmatched","","PHARMACIE UMURAVA","NYARUGENGE","Kigali City, NYARUGENGE, RWEZAMENYO,RWEZAMENYO,AMAHORO","250788539713","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.162","0.162"
"ambiguous_or_unmatched","","PHARMACIE UNIQUE KIMIHURURA","GASABO","Kigali City, GASABO,KIMIHURURA,KIMIHURURA","250788309743","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.654","0.616"
"ambiguous_or_unmatched","","PHARMAID LTD","KICUKIRO","Kigali City, KICUKIRO, GIKONDO, GIKONDO NYENYERI","250728820280","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.233","0.215"
"ambiguous_or_unmatched","","PHARMAID LTD","KICUKIRO","Kigali City, KICUKIRO, GIKONDO, GIKONDO NYENYERI","250787610201","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.233","0.215"
"ambiguous_or_unmatched","","PILLARCARE PHARMACY LTD","GASABO","Kigali City, GASABO,REMERA,RUKIRI II,AMAHORO","250788827446","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.245","0.194"
"ambiguous_or_unmatched","","RITE PHARMACY LTD NYARUTARAMA BRANCH","GASABO","Kigali City, GASABO,REMERA,NYARUTARAMA,MUNSI YA GREENHILS","250788303127","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.807","0.753"
"ambiguous_or_unmatched","","SANAVITA PHARMACY LTD","NYARUGENGE","Kigali City, NYARUGENGE, GITEGA SECTOR, AKABEZA","250789648972","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.200","0.200"
"ambiguous_or_unmatched","","TECHNIPHARMA","GASABO","Kigali City, GASABO,KICUKIRO, KIGARAMA, NYARURAMA","250788528368","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.245","0.233"
"ambiguous_or_unmatched","","TREMIRO PHARMACY LTD","NYARUGENGE","Kigali City, KICUKIRO, NYARUGENGE,NYAMIRAMBO,KIVUGIZA,INTWARI","250783259296","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.250","0.215"
"ambiguous_or_unmatched","","UNIPHARMA BRANCH 1 (B1)","GASABO","Kigali City, GASABO, REMERA, RUKIRI I, KISIMENTI","250788300660","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.688","0.450"
"ambiguous_or_unmatched","","UNIPHARMA BRANCH 1 (B1)","GASABO","Kigali City, GASABO, REMERA, RUKIRI I, KISIMENTI","250788874827","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.688","0.450"
"ambiguous_or_unmatched","","UNIPHARMA BRANCH B2","GASABO","Kigali City, GASABO, KINYINYA, KAGUGU","250788251677","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.791","0.508"
"ambiguous_or_unmatched","","UNIPHARMA BRANCH B2","GASABO","Kigali City, GASABO, KINYINYA, KAGUGU","250788300660","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.791","0.508"
"ambiguous_or_unmatched","","UNIPHARMA BRANCH B4","KICUKIRO","Kigali City, KICUKIRO, KINYINYA, GACURIRO, NYARUTARAMA","250788774310","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.508","0.508"
"ambiguous_or_unmatched","","UNIPHARMA, BRANCH B3","KICUKIRO","Kigali City, KICUKIRO, KANOMBE, KABEZA, GIPOROSO","250788300660","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.791","0.508"
